date,sales
2023-04-15,21600
2023-04-16,19200
2023-04-17,19900
2023-04-18,20600
2023-04-19,21300
2023-04-20,22000
2023-04-21,22700
2023-04-22,22100
2023-04-23,20900
2023-04-24,19600
2023-04-25,20300
2023-04-26,21000
2023-04-27,21700
2023-04-28,22400
2023-04-29,23100
2023-04-30,22300
2023-05-01,18500
2023-05-02,19200
2023-05-03,19900
2023-05-04,20600
2023-05-05,21500
2023-05-06,22200
2023-05-07,21600
2023-05-08,19300
2023-05-09,20000
2023-05-10,20700
2023-05-11,21400
2023-05-12,22100
2023-05-13,22800
2023-05-14,23500
2023-05-15,22600
2023-05-16,20200
2023-05-17,20900
2023-05-18,21600
2023-05-19,22300
2023-05-20,23000
2023-05-21,23700
2023-05-22,23100
2023-05-23,21900
2023-05-24,20600
2023-05-25,21300
2023-05-26,22000
2023-05-27,22700
2023-05-28,23400
2023-05-29,24100
2023-05-30,23300
2023-05-31,22700
2023-06-01,19500
2023-06-02,20200
2023-06-03,20900
2023-06-04,21600
2023-06-05,22500
2023-06-06,23200
2023-06-07,22600
2023-06-08,20300
2023-06-09,21000
2023-06-10,21700
2023-06-11,22400
2023-06-12,23100
2023-06-13,23800
2023-06-14,24500
2023-06-15,23600
2023-06-16,21200
2023-06-17,21900
2023-06-18,22600
2023-06-19,23300
2023-06-20,24000
2023-06-21,24700
2023-06-22,24100
2023-06-23,22900
2023-06-24,21600
2023-06-25,22300
2023-06-26,23000
2023-06-27,23700
2023-06-28,24400
2023-06-29,25100
2023-06-30,24300
2023-07-01,20500
2023-07-02,21200
2023-07-03,21900
2023-07-04,22600
2023-07-05,23500
2023-07-06,24200
2023-07-07,23600
2023-07-08,21300
2023-07-09,22000
2023-07-10,22700
2023-07-11,23400
2023-07-12,24100
2023-07-13,24800
2023-07-14,25500
2023-07-15,24600
2023-07-16,22200
2023-07-17,22900
2023-07-18,23600
2023-07-19,24300
2023-07-20,25000
2023-07-21,25700
2023-07-22,25100
2023-07-23,23900
2023-07-24,22600
2023-07-25,23300
2023-07-26,24000
2023-07-27,24700
2023-07-28,25400
2023-07-29,26100
2023-07-30,25300
2023-07-31,24700
2023-08-01,21500
2023-08-02,22200
2023-08-03,22900
2023-08-04,23600
2023-08-05,24500
2023-08-06,25200
2023-08-07,24600
2023-08-08,22300
2023-08-09,23000
2023-08-10,23700
2023-08-11,24400
2023-08-12,25100
2023-08-13,25800
2023-08-14,26500
2023-08-15,25600
2023-08-16,23200
2023-08-17,23900
2023-08-18,24600
2023-08-19,25300
2023-08-20,26000
2023-08-21,26700
2023-08-22,26100
2023-08-23,24900
2023-08-24,23600
2023-08-25,24300
2023-08-26,25000
2023-08-27,25700
2023-08-28,26400
2023-08-29,27100
2023-08-30,26300
2023-08-31,25700
2023-09-01,22500
2023-09-02,23200
2023-09-03,23900
2023-09-04,24600
2023-09-05,25500
2023-09-06,26200
2023-09-07,25600
2023-09-08,23300
2023-09-09,24000
2023-09-10,24700
2023-09-11,25400
2023-09-12,26100
2023-09-13,26800
2023-09-14,27500
2023-09-15,26600
2023-09-16,24200
2023-09-17,24900
2023-09-18,25600
2023-09-19,26300
2023-09-20,27000
2023-09-21,27700
2023-09-22,27100
2023-09-23,25900
2023-09-24,24600
2023-09-25,25300
2023-09-26,26000
2023-09-27,26700
2023-09-28,27400
2023-09-29,28100
2023-09-30,27300
2023-10-01,23500
2023-10-02,24200
2023-10-03,24900
2023-10-04,25600
2023-10-05,26500
2023-10-06,27200
2023-10-07,26600
2023-10-08,24300
2023-10-09,25000
2023-10-10,25700
2023-10-11,26400
2023-10-12,27100
2023-10-13,27800
2023-10-14,28500
2023-10-15,27600
2023-10-16,25200
2023-10-17,25900
2023-10-18,26600
2023-10-19,27300
2023-10-20,28000
2023-10-21,28700
2023-10-22,28100
2023-10-23,26900
2023-10-24,25600
2023-10-25,26300
2023-10-26,27000
2023-10-27,27700
2023-10-28,28400
2023-10-29,29100
2023-10-30,28300
2023-10-31,27700
2023-11-01,24500
2023-11-02,25200
2023-11-03,25900
2023-11-04,26600
2023-11-05,27500
2023-11-06,28200
2023-11-07,27600
2023-11-08,25300
2023-11-09,26000
2023-11-10,26700
2023-11-11,27400
2023-11-12,28100
2023-11-13,28800
2023-11-14,29500
2023-11-15,28600
2023-11-16,26200
2023-11-17,26900
2023-11-18,27600
2023-11-19,28300
2023-11-20,29000
2023-11-21,29700
2023-11-22,29100
2023-11-23,27900
2023-11-24,26600
2023-11-25,27300
2023-11-26,28000
2023-11-27,28700
2023-11-28,29400
2023-11-29,30100
2023-11-30,29300
2023-12-01,25500
2023-12-02,26200
2023-12-03,26900
2023-12-04,27600
2023-12-05,28500
2023-12-06,29200
2023-12-07,28600
2023-12-08,26300
2023-12-09,27000
2023-12-10,27700
2023-12-11,28400
2023-12-12,29100
2023-12-13,29800
2023-12-14,30500
2023-12-15,29600
2023-12-16,27200
2023-12-17,27900
2023-12-18,28600
2023-12-19,29300
2023-12-20,30000
2023-12-21,30700
2023-12-22,30100
2023-12-23,28900
2023-12-24,27600
2023-12-25,28300
2023-12-26,29000
2023-12-27,29700
2023-12-28,30400
2023-12-29,31100
2023-12-30,30300
2023-12-31,29700
